WorkOrder,ModelName,LineName,SectionName,GroupName,StationName,TesterId,FixtureId,CarrierId,CarrierSide,TimeStamp,TestResult,SequenceNumber,Title,FileName,
1085033-04 2616070006451085033-04 261607000453,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1321,0,4/21/2026 12:04,PASS,0,N/A,N/A
1085033-04 261607000892,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA18,ECD16010089-FAT-02,CR_CD01:1098,0,4/21/2026 12:04,PASS,0,N/A,N/A
1085033-04 261607026186,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1092,0,4/21/2026 12:18,PASS,0,N/A,N/A
1085033-04 261607000711,3572605118,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA19,ECD16010089-FAT-01,CR_CD01:1350,0,4/21/2026 12:18,PASS,0,N/A,N/A
1085033-04 261607011079,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA18,ECD16010089-FAT-02,CR_CD01:1184,0,4/21/2026 12:20,PASS,0,N/A,N/A
1085033-04 2616070112381085033-04 261607011477,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1340,0,4/21/2026 12:22,PASS,0,N/A,N/A
1085033-04 2616070008381085033-04 261607026462,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA06,ECD16010089-EER-01,CR_CD01:1402,0,4/21/2026 12:24,PASS,0,N/A,N/A
1085033-04 2616070005431085033-04 261607011303,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1293,0,4/21/2026 12:25,PASS,0,N/A,N/A
1085033-04 2616070113021085033-04 261507028361,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA06,ECD16010089-EER-01,CR_CD01:1182,0,4/21/2026 12:26,PASS,0,N/A,N/A
1085033-04 2616070112651085033-04 261607000833,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1424,0,4/21/2026 12:27,PASS,0,N/A,N/A
1085033-04 261607026478,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1434,0,4/21/2026 12:28,PASS,0,N/A,N/A
BUNC1B348034#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1416,0,4/21/2026 12:28,PASS,0,N/A,N/A
1085033-04 261607000716,3572605118,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA19,ECD16010089-FAT-01,CR_CD01:1215,0,4/21/2026 12:29,PASS,0,N/A,N/A
1085033-04 2615070284531085033-04 261607026186,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1285,0,4/21/2026 12:29,PASS,0,N/A,N/A
1085033-04 261607011346,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1095,0,4/21/2026 12:29,PASS,0,N/A,N/A
